NiceForNow Configuration,Tất Cả
The cache storage may contain additional data. Are you sure that you want to flush it?,Bộ nhớ đệm có thể chứa dữ liệu bổ sung. Bạn muốn quét nó?
Flush Cache Storage,Xóa bộ nhớ đệm
Invalidated,Không có hiệu lực
Orders,Đơn hàng
Amounts,Số tiền đã thanh toán
Most Viewed Products,Sản phẩm được xem nhiều nhất
Customer,Khách hàng
Items,Sản phẩm
Average,Trung bình
Tax,Thuế
Shipping,Vận chuyển
"Media (.avi, .flv, .swf)","Phương tiện (.avi, .flv, .swf)"
All Files,Tất cả các tệp
Reset to Default,Thiết lập về mặc định
Save Account,Lưu tài khoản
First Name,Tên
Last Name,Họ
Email,Email
User Email,Email người dùng
Password Confirmation,Xác nhận mật khẩu
Interface Locale,Giao diện ngôn ngữ và khu vực
Current User Identity Verification,Xác minh danh tính người dùng hiện tại
Your Password,Mật khẩu của bạn
Save Cache Settings,Lưu thiết lập đệm
Catalog Rewrites,Viết lại danh mục
Images Cache,Hình ảnh Cache
Search Index,Tìm chỉ mục
Rebuild,Thiết lập lại
Inventory Stock Status,Tình trạng cổ phiếu tồn
Rebuild Catalog Index,Thiết lập lại danh mục chỉ mục
Rebuild Flat Catalog Category,Thiết lập lại danh mục mặt hàng phẳng
Rebuild Flat Catalog Product,Thiết lập lại danh mục sản phẩm phẳng
Cache Control,Kiểm soát bộ đệm
All Cache,Tất cả bộ đệm
No change,Không thay đổi
Disable,Vô hiệu hóa
Enable,Kích hoạt
Add Design Change,Thêm thay đổi thiết kế
Delete,Xóa
Save,Lưu
Edit Design Change,Sửa thay đổi thiết kế
New Store Design Change,Thay đổi thiết kế cửa hàng mới
General Settings,Thiết lập chung
Custom Design,Thiết kế tùy chỉnh
Design Change,Thay đổi thiết kế
General,Chung
Delete %1 '%2',Xóa %1 '%2'
Delete %1,Xóa %1
Block Information,Thông tin khối nội dung
Backup Options,Tùy chọn sao chép
Create DB Backup,Tạo hệ thống sao lưu DB
Delete Store,Xóa cửa hàng
Delete Web Site,Xóa trang Web
Save Web Site,Lưu trang Web
Save Store View,Lưu cửa hàng
Delete Store View,Xóa cửa hàng
Edit Web Site,Sửa trang Web
New Web Site,Trang Web mới
Edit Store View,Sửa thông tin cửa hàng
New Store View,Cửa hàng mới
Store View Information,Thông tin cửa hàng
Disabled,Vô hiệu hóa
Web Site Information,Thông tin trang Web
Set as Default,Thiết lập về mặc định
Create Website,Tạo website
Create Store,Tạo cửa hàng
Create Store View,Tạo thông tin cửa hàng
Add New Image,Lưu hình ảnh mới
Export block for grid %1 is not defined,Xuất khẩu khối cho dạng lưới chưa được xác nhận
All Countries,Tất cả quốc gia
Date selector,Chọn ngày
[ deleted ],[ xóa ]
Invalid export type supplied for grid export block,Loại xuất khẩu được cung cấp cho khối xuất khẩu dạng lưới
Please correct the column format and try again.,Vui lòng sửa dạng cột và thử lại.
Unknown block type,Không rõ kiểu khối thông tin
Please correct the tab configuration and try again. Tab Id should be not empty,Vui lòng sửa cấu hình tab và thử lại. Id tab không được để trống
Please correct the tab configuration and try again.,Vui lòng sửa tab thuộc tính và thử lại.
You have logged out.,Bạn đã thoát tài khoản.
Specified cache type(s) don't exist: %1,Cache type(s) đã chỉ định không tồn tại: %1
The image cache was cleaned.,Hình ảnh bộ nhớ đệm đã bị xóa.
An error occurred while clearing the image cache.,Xảy ra lỗi khi xóa ảnh bộ đệm.
The JavaScript/CSS cache has been cleaned.,Bộ nhớ đệm JavaScript/CSS đã bị xóa.
An error occurred while clearing the JavaScript/CSS cache.,Xảy ra lỗi khi xóa bộ đệm JavaScript/CSS.
You flushed the cache storage.,Bạn đã xóa bộ nhớ đệm.
The Magento cache storage has been flushed.,Bộ nhớ đệm Magento đã bị xóa.
Cache Management,Quản lý bộ nhớ đệm
You can't change status of cache type(s) in production mode,Bạn không thể thay đổi trạng thái của bộ nhớ cache trong chế độ sản xuất
%1 cache type(s) disabled.,%1 loại bộ đệm đã bị vô hiệu hóa.
An error occurred while disabling cache.,Xảy ra lỗi khi vô hiệu hóa bộ đệm.
%1 cache type(s) enabled.,%1 bộ đệm đã được cho phép.
An error occurred while enabling cache.,Xảy ra lỗi khi cho phép bộ đệm.
%1 cache type(s) refreshed.,%1 loại bộ đệm đã được tải lại.
An error occurred while refreshing cache.,Xảy ra lỗi khi tải lại bộ đệm.
Dashboard,Tổng quan
We updated lifetime statistic.,Chúng tôi đã nâng cấp số liệu thời gian.
We can't refresh lifetime statistics.,Hiện tại không thể refresh được thống kê.
invalid request,Yêu cầu không đúng
see error log for details,Xem log lỗi để biết thêm chi tiết
Service unavailable: %1,Dịch vụ không tồn tại: %1
You need more permissions to do this.,Bạn không đủ quyền để thao tác.
No search modules were registered,Không có mô-đun tìm kiếm được đăng ký
Please make sure that all global admin search modules are installed and activated.,Vui lòng chắc chắn rằng tất cả quản trị mô-đun tìm kiếm được thiết lập và kích hoạt.
You saved the account.,Bạn đã lưu tài khoản.
An error occurred while saving account.,Xảy ra lỗi khi lưu tài khoản.
You deleted the design change.,Bạn đã xóa thay đổi của thiết kế.
You can't delete the design change.,Bạn không thể xóa thay đổi thiết kế.
Store Design,Cửa hàng thiết kế
Edit Store Design Change,Chỉnh sửa thay đổi thiết kế của cửa hàng
You saved the design change.,Bạn đã lưu thay đổi của thiết kế.
Manage Stores,Quản lý cửa hàng
The database was backed up.,Dữ liệu đã được sao lưu.
We can't create a backup right now. Please try again later.,Hiện tại không thể tạo bản sao lưu ngay bây giờ. Hãy thử lại sau.
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Xóa %1 sẽ không xóa được thông tin kết hợp với %1 (ví dụ danh mục, sản phẩm, v.v...), nhưng %1 sẽ không thể được phục hồi. Bạn nên tạo một bản sao trước khi xóa %1."
Something went wrong. Please try again.,Xảy ra lỗi. Vui lòng thử lại.
This store cannot be deleted.,Không thể xóa cửa hàng này.
You deleted the store.,Bạn đã xóa của hàng.
Unable to delete the store. Please try again later.,Không thể xóa cửa hàng. Vui lòng thử lại sau.
This store view cannot be deleted.,Không thể xóa cửa hàng.
Store View,Xem cửa hàng
You deleted the store view.,Bạn đã xóa cửa hàng.
Unable to delete the store view. Please try again later.,Không thể xóa chế độ hiển thị cửa hàng. Vui lòng thử lại sau.
This website cannot be deleted.,Không thể xóa trang web này.
You deleted the website.,Bạn đã xóa trang Web.
Unable to delete the website. Please try again later.,Không thể xóa trang web. Vui lòng thử lại sau.
The website does not exist.,Trang web không tồn tại.
Before modifying the website code please make sure it is not used in index.php.,Trước khi sửa lỗi mã website hãy chắc chắn rằng nó không được sử dụng trong index.php.
The store does not exist,Cửa hàng không tồn tại
Store view doesn't exist,Trang hiển thị cửa hàng không tồn tại
Before modifying the store view code please make sure it is not used in index.php.,"Trước khi sửa lỗi mã cửa hàng , hãy chắc chắn rằng nó không được sử dụng trong index.php."
New ,Mới
You saved the website.,Bạn đã lưu trang web.
The default store cannot be disabled,Không thể tắt cửa hàng mặc định
You saved the store view.,Bạn đã lưu thông tin cửa hàng.
An inactive store view cannot be saved as default store view,Trang hiển thị cửa hàng bị vô hiệu hóa không thể được lưu làm Trang hiển thị cửa hàng mặc định
You saved the store.,Bạn đã lưu cửa hàng.
Something went wrong while saving. Please review the error log.,Xảy ra lỗi khi lưu. Vui lòng xem lại lỗi log.
Last 24 Hours,Trong vòng 24 giờ
Last 7 Days,Trong vòng 7 ngày
Current Month,Trong tháng này
YTD,Trong vòng 1 năm
2YTD,Trong vòng 2 năm
Authentication storage is incorrect.,Xác thực bộ nhớ không đúng.
You did not sign in correctly or your account is temporarily disabled.,Bạn đăng nhập không đúng cách hoặc tài khoản của bạn tạm thời bị vô hiệu hóa.
Authentication error occurred.,Xảy ra lỗi xác thực.
Admin session lifetime must be less than or equal to 31536000 seconds (one year),Thời gian tồn tại của phiên quản trị viên phải nhỏ hơn hoặc bằng 31536000 giây (một năm)
Admin session lifetime must be greater than or equal to 60 seconds,Thời gian tồn tại của phiên quản trị viên phải lớn hơn hoặc bằng 60 giây
Order,Đơn hàng
"Sorry, you need permissions to view this content.","Xin lỗi, bạn cần được cấp quyền để xem nội dung này."
"If you think this is an error, try signing out and signing in again.","Nếu bạn nghĩ rằng đây là một lỗi, hãy thử đăng xuất và đăng nhập lại."
Contact a system administrator or store owner to gain permissions.,Liên hệ với quản trị hệ thống hoặc chủ cửa hàng để được quyền truy cập.
Return to ,Trở lại
HTTP_REFERER,HTTP_REFERER
javascript:history.back(),javascript:history.back()
"Welcome, please sign in","Xin chào, vui lòng đăng nhập"
Username,Tên đăng nhập
Select Range:,Chọn khoảng:
No Data Found,Không tìm thấy tài liệu nào
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Biểu đồ bị tắt. Để bật biểu đồ, hãy nhấp vào <a href=""%1"">here</a>."
Last Search Terms,Từ khóa tìm kiếm cuối cùng
Top Search Terms,Từ khóa tìm kiếm nhiều nhất
There are no search keywords.,Không có từ khóa tìm kiếm.
View Statistics For:,Thông tin số liệu cho:
Reload Data,Làm mới
Copyright &copy, %1 Magento Commerce Inc. All rights reserved.
ver. %1,ver. %1
Magento Admin Panel,Quản Trị Magento
About the calendar,Về lịch
Go Today,Đến ngày hôm nay
WK,WK
Time,Thời gian
Minute,Phút
JavaScript may be disabled in your browser.,JavaScript có thể bị hiệu hóa trong trình duyệt của bạn.
To use this website you must first enable JavaScript in your browser.,"Để dùng được trang Web, trước tiên, bạn phải kích hoạt JavaScript trong trình duyệt của bạn."
